"","country","gti_score","ml_predicted_score","gti_rank","ml_rank","rank_difference"
"37","Democratic Republic of the Congo",0.713515192427577,0.750139507647417,45,37,8
"38","Burundi",0.784760398525235,0.743664645910757,35,38,-3
"39","Myanmar",0.751087676253868,0.74267418354635,39,39,0
"40","South Sudan",0.749307796427096,0.737237727378869,40,40,0
"41","Mali",0.756728329811194,0.735395826151193,37,41,-4
"42","Kenya",0.699706056636047,0.72913986988836,49,42,7
"43","Sudan",0.699878868967761,0.726353237473799,48,43,5
"44","Cameroon",0.807037595715548,0.7243449370295,33,44,-11
"45","Indonesia",0.788843365482863,0.720264839405688,34,45,-11
"46","Chile",0.708543948786814,0.719685153375457,46,46,0
"47","South Africa",0.91097519848728,0.718630575674789,30,47,-17
"48","Central African Republic",0.738716233333544,0.717547003546441,42,48,-6
"49","Italy",0.724366438468046,0.662665722575601,44,49,-5
"50","Mozambique",0.678420895980563,0.655594419245521,52,50,2
"51","Greece",0.727399155934571,0.652880697409239,43,51,-8
"52","Rwanda",0.681322023289513,0.644362020748387,50,52,-2
"53","Saudi Arabia",0.680664010089482,0.640483969173374,51,53,-2
"54","Chad",0.636760360909272,0.638877370604567,57,54,3
"55","Niger",0.66317982538869,0.637613281598234,54,55,-1
"56","Cambodia",0.640444916149718,0.634650294725585,56,56,0
"57","West Germany (FRG)",0.617056836674658,0.631104458592606,62,57,5
"58","China",0.618987514635106,0.630865450813713,61,58,3
"59","Burkina Faso",0.625030917314685,0.595297562893553,59,59,0
"60","Argentina",0.624935989301344,0.591556665267083,60,60,0
"61","Germany",0.635828497817708,0.573730934630786,58,61,-3
"62","Venezuela",0.65563105600389,0.573691987062564,55,62,-7
"63","Tajikistan",0.574175500256283,0.570177979511462,67,63,4
"64","Honduras",0.558635233174289,0.566995016893578,81,64,17
"65","Namibia",0.56397388769715,0.566882347839295,71,65,6
"66","Mexico",0.613269242862614,0.565093480611543,63,66,-3
"67","Sierra Leone",0.597161762227461,0.565062096835353,64,67,-3
"68","Georgia",0.573154255563243,0.56356338391253,68,68,0
"69","Switzerland",0.576514071723391,0.562802130109874,66,69,-3
"70","Tunisia",0.562757226937946,0.56237677613735,72,70,2
"71","Malaysia",0.565218162318214,0.561779828787191,70,71,-1
"72","Brazil",0.576941510294773,0.561269640875289,65,72,-7
"73","Bolivia",0.562580404811778,0.561233894753359,74,73,1
"74","Ireland",0.560338326239202,0.560809656292868,78,74,4
"75","Netherlands",0.570986175354612,0.560465295059502,69,75,-6
"76","Belgium",0.559192926859911,0.560092500647509,79,76,3
"77","Haiti",0.559130386729919,0.557873365480059,80,77,3
"78","Kosovo",0.560595050344536,0.555577976575615,77,78,-1
"79","Canada",0.561226427035069,0.554986463584733,75,79,-4
"80","Kuwait",0.556592370098055,0.554355790057888,83,80,3
"81","Yugoslavia",0.560761248306517,0.554272557729075,76,81,-5
"82","Taiwan",0.562687298596967,0.553803303620834,73,82,-9
"83","Senegal",0.554038910573169,0.550589108217401,85,83,2
"84","Bosnia-Herzegovina",0.552650032220818,0.546976099393711,87,84,3
"85","Papua New Guinea",0.538574875969094,0.54689048930049,111,85,26
"86","Cyprus",0.556314108560526,0.546327651840005,84,86,-2
"87","Bahrain",0.556981181437627,0.546306854183943,82,87,-5
"88","Zimbabwe",0.55255123493498,0.54603403944125,88,88,0
"89","Zaire",0.550409482514495,0.546011050858313,89,89,0
"90","Macedonia",0.552775726377451,0.545672765630036,86,90,-4
"91","Djibouti",0.54587762132175,0.542733910745326,95,91,4
"92","Azerbaijan",0.547324107138829,0.542366926551086,92,92,0
"93","Jordan",0.540456883825139,0.541668340386593,101,93,8
"94","Portugal",0.54807264865499,0.540650600583763,90,94,-4
"95","Australia",0.546710237363285,0.53986339049955,93,95,-2
"96","Croatia",0.546561582612702,0.539581010879847,94,96,-2
"97","Ecuador",0.532429154638244,0.539065016125301,143,97,46
"98","Fiji",0.545751451318394,0.539031795042588,96,98,-2
"99","Paraguay",0.543597701110166,0.53888607568725,97,99,-2
"100","Zambia",0.540581871535726,0.538657024371427,100,100,0
"101","Uzbekistan",0.538879604482309,0.53851595887367,109,101,8
