"","headline","snippet","date","text_clean","keyword","framing_label"
"28","Malaysia shuts down Saudi-backed anti-terrorism centre | News | Al ...","Aug 7, 2018 ... The King Salman Center for International Peace (KSCIP) in Kuala Lumpur will cease operations immediately and its functions will be absorbed by ...","Last update 7 Aug 2018","malaysia shuts saudibacked antiterrorism centre news al aug king salman center international peace kscip kuala lumpur will cease operations immediately functions will absorbed  ","Terrorism","Terrorism"
"29","'Terrorism threat has moved' from Afghanistan, says top US envoy ...","Apr 19, 2021 ... Blinken defends decision to withdraw from Afghanistan, saying Washington needed to focus on China and the pandemic.","19 Apr 2021","terrorism threat moved afghanistan says top us envoy apr blinken defends decision withdraw afghanistan saying washington needed focus china pandem","Terrorism","Terrorism"
"30","FBI probing Trump rally shooting as 'domestic terrorism' as RNC ...","Jul 15, 2024 ... The Federal Bureau of Investigation (FBI) is continuing to scour over evidence in the attack on former United States President Donald Trump, ...","Last update 15 Jul 2024","fbi probing trump rally shooting domestic terrorism rnc jul federal bureau investigation fbi continuing scour evidence attack former united states president donald trump ","Terrorism","Terrorism"
"31","'Psychological terrorism': The war against reproductive rights in the ...","Apr 18, 2025 ... 'Psychological terrorism': The war against reproductive rights in the US. Redi Tlhabi speaks with Professor Michele Goodwin about the current ...","18 Apr 2025","psychological terrorism war reproductive rights apr psychological terrorism war reproductive rights us redi tlhabi speaks professor michele goodwin current ","Terrorism","Terrorism"
"32","On terrorism, Basque nationalism and a 'bar brawl' | Courts | Al ...","Jul 10, 2017 ... The eight young men and a woman are facing charges of “terrorist injury” and “terrorist threat” for being involved in what many activists ...","Last update 10 Jul 2017"," terrorism basque nationalism bar brawl courts al jul eight young men woman facing charges “terrorist injury” “terrorist threat” involved many activists ","Terrorism","Terrorism"
"33","Pakistan expects to avoid 'terrorism' financing blacklist | Business ...","Oct 17, 2019 ... Pakistan expects to avoid 'terrorism' financing blacklist. With support from Beijing and others, Islamabad is likely to avert designation that ...","Last update 17 Oct 2019","pakistan expects avoid terrorism financing blacklist business oct pakistan expects avoid terrorism financing blacklist support beijing others islamabad likely avert designation  ","Terrorism","Terrorism"
"34","The Lebanon pager attack: Israel's terror playbook strikes again ...","Sep 18, 2024 ... But that is the whole point of terrorism, is it not? ... This particular diary entry, translated into English, appears in a 1980 book titled ...","Last update 18 Sep 2024"," lebanon pager attack israels terror playbook strikes sep whole point terrorism particular diary entry translated english appears book titled ","Terrorism","Terrorism"
"35","Putin accuses Ukraine of Crimea bridge blast 'terrorism' | Russia ...","Oct 10, 2022 ... Russian President Vladimir Putin has accused Ukraine of being behind the Kerch bridge explosion, masterminding an “act of terrorism” that ...","Last update 10 Oct 2022","putin accuses ukraine crimea bridge blast terrorism russia oct russian president vladimir putin accused ukraine behind kerch bridge explosion masterminding “act terrorism”  ","Terrorism","Terrorism"
"36","Hong Kong police arrest four students for 'advocating terrorism ...","Aug 18, 2021 ... Hong Kong have said they had arrested four students on suspicion of “advocating terrorism” after their student union passed a motion last month ...","18 Aug 2021","hong kong police arrest four students advocating terrorism aug hong kong said arrested four students suspicion “advocating terrorism” student union passed motion last month ","Terrorism","Terrorism"
"37","Drop 'terrorism' charges against ex-PM Imran Khan: Pakistan court ...","Sep 19, 2022 ... A court in Pakistan has ordered that 'terrorism' charges against former Prime Minister Imran Khan for his remarks against a female judge and senior police ...","Last update 19 Sep 2022","drop terrorism charges expm imran khan pakistan court sep court pakistan ordered terrorism charges former prime minister imran khan remarks female judge senior police ","Terrorism","Terrorism"
"38","Egypt charges 200 people with terrorism | News | Al Jazeera","May 10, 2014 ... Egypt charges 200 people with terrorism. Ansar Beit al-Maqdis members face mass trial for deadly attacks, but only 102 are in custody as 98 ...","10 May 2014","egypt charges people terrorism news al jazeera may egypt charges people terrorism ansar beit almaqdis members face mass trial deadly attacks custody  ","Terrorism","Terrorism"
"39","Philippines: Mosque in Zamboanga hit by deadly grenade attack ...","Jan 30, 2019 ... “Terrorism has once again reared its barbaric and ugly head,” Panelo said. ... “Nobody, but nobody, could perpetuate that kind of terrorism ...","30 Jan 2019","philippines mosque zamboanga hit deadly grenade attack jan “terrorism reared barbaric ugly head” panelo said “nobody nobody perpetuate kind terrorism ","Terrorism","Terrorism"
