headline,link,date,snippet,keyword
Burundi using 'violence' against opposition ahead of polls: HRW ...,https://www.aljazeera.com/news/2020/4/27/burundi-using-violence-against-opposition-ahead-of-polls-hrw,19 Aug 2015,"Apr 27, 2020 ... “Violence and repression have been the hallmark of politics in ... political opponents over the last six months. In 2015, President ...",Political violence
Fatal violence in strike-hit Bangladesh | News | Al Jazeera,https://www.aljazeera.com/news/2013/3/4/fatal-violence-in-strike-hit-bangladesh,,"Mar 4, 2013 ... The rioting underlines Bangladesh's history of political violence. Prime Minister Sheikh Hasina's government initiated the war crimes trials ...",Political violence
"Death, murder, and fear in post-elections Burundi | Gallery | Al Jazeera",https://www.aljazeera.com/gallery/2015/8/19/death-murder-and-fear-in-post-elections-burundi,,"Aug 19, 2015 ... ... political violence in the Democratic Republic of the Congo many years ago, were stopped by police and ordered onto the ground. There was ...",Political violence
Afghanistan civilian casualties | News | Al Jazeera,https://www.aljazeera.com/news/2017/7/17/afghanistan-civilian-casualties,17 Jul 2017,"Jul 17, 2017 ... Afghanistan civilian casualties. Fifteen percent increase in number of civilian lives lost in coordinated attacks in Afghanistan. ... In the first ...",Civilian casualties
Blinken says civilian death toll in Gaza 'far too high' | Israel-Palestine ...,https://www.aljazeera.com/news/2024/1/9/blinken-tells-israel-to-avoid-further-civilian-harm-in-gaza,Last update 10 Jan 2024,"Jan 9, 2024 ... United States Secretary of State Antony Blinken has said the civilian death toll in Gaza is “far too high”, especially among children, and ...",Civilian casualties
US strike targeting Taliban commander causes civilian casualties ...,https://www.aljazeera.com/news/2020/1/9/us-strike-targeting-taliban-commander-causes-civilian-casualties,Last update 9 Jan 2020,"Jan 9, 2020 ... More than 60 civilians were killed or wounded in a US drone attack targeting a top Taliban splinter-group commander in the western Afghanistan ...",Civilian casualties
UN decries Ethiopia air strikes; says dozens killed this month | Abiy ...,https://www.aljazeera.com/news/2022/1/15/un-decries-ethiopia-air-strikes-says-scores-killed-this-month,15 Jan 2022,"Jan 15, 2022 ... “We are alarmed by the multiple, deeply disturbing reports we continue to receive of civilian casualties and destruction of civilian objects ...",Civilian casualties
"Israel, civilian deaths and the question of proportionality | Israel ...",https://www.aljazeera.com/news/2024/8/12/israel-civilian-deaths-and-the-question-of-proportionality,12 Aug 2024,"Aug 12, 2024 ... While occasionally disputing the death toll, Israel has made it clear that it views its destruction of Gaza, and the civilians killed, as ...",Civilian casualties
Afghan civilian casualties at record high in 2016: UN | ISIL/ISIS ...,https://www.aljazeera.com/news/2017/2/6/afghan-civilian-casualties-at-record-high-in-2016-un,6 Feb 2017,"Feb 6, 2017 ... Afghan civilian casualties at record high in 2016: UN. A total of 3,498 civilians killed and 7,920 wounded in 2016, in part due to increase in ...",Civilian casualties
"Death toll from Israeli attacks on Lebanon surpasses 3,000: Health ...",https://www.aljazeera.com/news/2024/11/5/death-toll-from-israeli-attacks-on-lebanon-surpasses-3000-health-ministry,Last update 5 Nov 2024,"Nov 5, 2024 ... ... civilian casualties from widespread and indiscriminate Israeli air strikes and artillery shelling. The United Nations children's agency said ...",Civilian casualties
Three children among dead in joint attack in Somalia | Al-Shabab ...,https://www.aljazeera.com/news/2017/8/25/three-children-among-dead-in-joint-attack-in-somalia,25 Aug 2017,"Aug 25, 2017 ... It later issued a second statement saying some civilian casualties had been reported. The incident is likely to provoke questions in ...",Civilian casualties
"Afghan civilian casualties hit a record 11,000 in 2015 | Armed ...",https://www.aljazeera.com/news/2016/2/14/afghan-civilian-casualties-hit-a-record-11000-in-2015,14 Feb 2016,"Feb 14, 2016 ... The number of Afghan civilians killed and wounded passed 11,000 in 2015 – the highest number recorded since the United States-led invasion more ...",Civilian casualties
Israel 'not successful' in minimising Gaza civilian casualties ...,https://www.aljazeera.com/news/2023/11/17/israel-not-successful-in-minimising-gaza-civilian-casualties-netanyahu,17 Nov 2023,"Nov 17, 2023 ... The Israeli military is doing all it can to get civilians out of harm's way amid its war in Gaza, but its attempts to minimise casualties are “ ...",Civilian casualties
'Unprecedented' Afghan civilian casualties in July-September ...,https://www.aljazeera.com/news/2019/10/17/unprecedented-afghan-civilian-casualties-in-july-september,Last update 17 Oct 2019,"Oct 17, 2019 ... 'Unprecedented' Afghan civilian casualties in July-September. UN says a record 4,313 civilians have been wounded or killed in Afghanistan during ...",Civilian casualties
"Civilian victims of Afghan war exceed 10,000 in 2017 | Human ...",https://www.aljazeera.com/news/2018/2/15/civilian-victims-of-afghan-war-exceed-10000-in-2017,Last update 15 Feb 2018,"Feb 15, 2018 ... At nearly 2,300, 2017 recorded the highest number of civilian casualties from suicide and complex attacks in a single year since the UN mission ...",Civilian casualties
More than 50 people killed during Afghanistan elections: UN ...,https://www.aljazeera.com/news/2018/11/6/more-than-50-people-killed-during-afghanistan-elections-un,6 Nov 2018,"Nov 6, 2018 ... At least 435 civilian casualties were recorded, out of which 56 people were killed and 379 wounded, on election day on October 20, and ...",Civilian casualties
Israel “not seeking to avoid civilian casualties” in Gaza | Al Jazeera ...,https://www.aljazeera.com/program/quotable/2025/4/10/aje-onl-qtmohamadelmasryfinal-100425,10 Apr 2025,"Apr 10, 2025 ... Israel “not seeking to avoid civilian casualties” in Gaza. Mohamad Elmasry says Israel's attacks on Gaza are deliberate attacks on the civilian ...",Civilian casualties
Record high deaths in the Russia-Ukraine war: What you should know,https://www.aljazeera.com/news/2024/10/16/russia-ukraine-wartime-deaths,Last update 16 Oct 2024,"Oct 16, 2024 ... Recent reports suggest a million people killed to date, with a high civilian death toll in Ukraine over the summer.",Civilian casualties
Rights group: US downplays civilian drone fatalities | Weapons ...,https://www.aljazeera.com/news/2016/7/1/rights-group-us-downplays-civilian-drone-fatalities,1 Jul 2016,"Jul 1, 2016 ... ... civilian casualties and makes protecting civilians a central element in US military operations planning. The order requires an annual ...",Civilian casualties
UN 'alarmed' by reports of civilian casualties in Myanmar air attacks ...,https://www.aljazeera.com/news/2024/3/19/un-chief-alarmed-by-reports-civilians-killed-in-myanmar-air-strikes,19 Mar 2024,"Mar 19, 2024 ... Antonio Guterres called for calm late on Monday following reports that continuing air attacks on villages in the restive country's Rakhine state have killed ...",Civilian casualties
